City,State,Country,Estimate (low),Estimate (high),Average,city_state_country,lat,lon
Abilene,TX,US,200,200,200.0,"Abilene, TX, US",32.4487364,32.4487364
Accident,MD,US,54,54,54.0,"Accident, MD, US",39.628696,39.628696
Adak,AK,US,10,10,10.0,"Adak, AK, US",51.88,51.88
Adrian,MI,US,NA,NA,NA,"Adrian, MI, US",41.8975471,41.8975471
Ajo,AZ,US,NA,NA,NA,"Ajo, AZ, US",32.3717248,32.3717248
Alamosa,CO,US,350,350,350.0,"Alamosa, CO, US",37.4694491,37.4694491
Albany,CA,US,NA,NA,NA,"Albany, CA, US",37.88687,37.88687
Albany,NY,US,7000,9000,8e3,"Albany, NY, US",42.6525793,42.6525793
Albuquerque,NM,US,3000,20000,11500.0,"Albuquerque, NM, US",35.0853336,35.0853336
Alpine,TX,US,96,96,96.0,"Alpine, TX, US",30.3584919,30.3584919
Amarillo,TX,US,600,600,600.0,"Amarillo, TX, US",35.2219971,35.2219971
Amelia Island,FL,US,700,700,700.0,"Amelia Island, FL, US",30.6265697,30.6265697
Anacortes,WA,US,NA,NA,NA,"Anacortes, WA, US",48.51260449999999,48.51260449999999
Anchorage,AK,US,2000,3000,2500.0,"Anchorage, AK, US",61.2180556,61.2180556
Ann Arbor,MI,US,11000,11000,11e3,"Ann Arbor, MI, US",42.2808256,42.2808256
Annapolis,MD,US,1600,1600,1600.0,"Annapolis, MD, US",38.9784453,38.9784453
Arlington,VA,US,NA,NA,NA,"Arlington, VA, US",38.8816208,38.8816208
Asbury Park,NJ,US,6000,6000,6e3,"Asbury Park, NJ, US",40.2203907,40.2203907
Asheville,NC,US,7000,10000,8500.0,"Asheville, NC, US",35.5950581,35.5950581
Ashland,OR,US,6000,6000,6e3,"Ashland, OR, US",42.1945758,42.1945758
Aspen,CO,US,1000,1000,1e3,"Aspen, CO, US",39.1910983,39.1910983
Astoria,OR,US,100,1000,550.0,"Astoria, OR, US",40.7643574,40.7643574
Athens,GA,US,700,5000,2850.0,"Athens, GA, US",33.9519347,33.9519347
Atlanta,GA,US,60000,60000,6e4,"Atlanta, GA, US",33.7489954,33.7489954
Augusta,GA,US,600,600,600.0,"Augusta, GA, US",33.4734978,33.4734978
Augusta,ME,US,10000,10000,1e4,"Augusta, ME, US",44.3106241,44.3106241
Austin,TX,US,30000,50000,4e4,"Austin, TX, US",30.267153,30.267153
Avalon,CA,US,44,44,44.0,"Avalon, CA, US",33.3428193,33.3428193
Bainbridge Island,WA,US,NA,NA,NA,"Bainbridge Island, WA, US",47.62487910000001,47.62487910000001
Baltimore,MD,US,5000,5000,5e3,"Baltimore, MD, US",39.2903848,39.2903848
Bandon,OR,US,70,70,70.0,"Bandon, OR, US",43.1189978,43.1189978
Barrow,AK,US,NA,NA,NA,"Barrow, AK, US",71.29055559999999,71.29055559999999
Bayfield,WI,US,427,427,427.0,"Bayfield, WI, US",46.8107671,46.8107671
Beaumont,TX,US,300,300,300.0,"Beaumont, TX, US",30.080174,30.080174
Beaver,PA,US,NA,NA,NA,"Beaver, PA, US",40.6953437,40.6953437
Bellingham,WA,US,5000,6000,5500.0,"Bellingham, WA, US",48.7519112,48.7519112
Bemidji,MN,US,250,500,375.0,"Bemidji, MN, US",47.4875361,47.4875361
Bend,OR,US,5000,5000,5e3,"Bend, OR, US",44.0581728,44.0581728
Bentonville,AR,US,NA,NA,NA,"Bentonville, AR, US",36.3728538,36.3728538
Berkeley,CA,US,NA,NA,NA,"Berkeley, CA, US",37.8715926,37.8715926
Bethel,AK,US,NA,NA,NA,"Bethel, AK, US",60.7922222,60.7922222
Bethlehem,PA,US,500,500,500.0,"Bethlehem, PA, US",40.6259316,40.6259316
Bettendorf,IA,US,800,800,800.0,"Bettendorf, IA, US",41.56084999999999,41.56084999999999
Beverly Hills,CA,US,NA,NA,NA,"Beverly Hills, CA, US",34.0736204,34.0736204
Binghamton,NY,US,2000,3000,2500.0,"Binghamton, NY, US",42.09868669999999,42.09868669999999
Birmingham,AL,US,5000,10000,7500.0,"Birmingham, AL, US",33.5206608,33.5206608
Bishop,CA,US,600,600,600.0,"Bishop, CA, US",37.3614238,37.3614238
Bismarck,ND,US,500,500,500.0,"Bismarck, ND, US",46.8083268,46.8083268
Black Mountain,NC,US,400,400,400.0,"Black Mountain, NC, US",35.6178951,35.6178951
Bluff,UT,US,NA,NA,NA,"Bluff, UT, US",37.2844448,37.2844448
